Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Age,Month_register,Sum_Purchases,Count_Campaigns,Count_Purchases,Children,Family_Size,Marital_Status_Children,target
Master,Relationship,89058.0,0,0,18,454,194,106,31,22,43,1,5,4,4,2,0,56,42,850,0,13,0,2,Relationship,2
Graduation,Relationship,77298.0,0,1,46,425,115,292,23,35,79,1,6,6,11,3,0,37,31,969,0,23,1,3,Family with Children,0
PhD,Single,68126.0,0,0,40,1332,17,311,23,51,86,1,7,4,5,9,0,25,43,1820,2,16,0,1,Single,2
Master,Relationship,57288.0,0,1,27,527,0,21,0,0,60,3,8,1,8,6,0,53,24,608,1,17,1,3,Family with Children,0
Graduation,Single,86037.0,0,0,95,490,44,125,29,20,22,1,6,7,11,3,0,25,41,730,3,24,0,1,Single,2
PhD,Relationship,43974.0,1,0,19,378,0,101,0,0,72,5,6,4,6,7,0,36,42,551,0,16,1,3,Family with Children,0
Graduation,Single,50785.0,1,1,27,64,1,21,0,1,27,2,2,1,3,6,0,54,33,114,0,6,2,3,Family with Children,1
Graduation,Relationship,90765.0,0,0,25,547,99,812,151,82,33,0,4,6,5,1,0,46,29,1724,2,15,0,2,Relationship,2
2n Cycle,Relationship,36550.0,1,0,74,47,90,94,123,103,120,5,9,1,5,9,0,38,40,577,0,15,1,3,Family with Children,0
2n Cycle,Relationship,30753.0,1,1,85,12,5,25,0,9,30,2,1,1,3,5,0,49,35,81,0,5,2,4,Family with Children,1
Graduation,Relationship,21918.0,1,0,37,1,6,7,11,5,3,2,2,0,3,6,0,47,31,33,0,5,1,3,Family with Children,1
Master,Relationship,56129.0,0,1,65,320,48,133,39,72,48,4,6,2,10,4,0,63,36,660,0,18,1,3,Family with Children,0
Master,Single,32557.0,1,0,13,34,3,29,0,4,10,3,2,1,3,5,0,49,28,80,1,6,1,2,Family with Children,1
Master,Relationship,19510.0,2,0,63,9,0,7,3,4,7,2,1,0,3,7,0,31,33,30,0,4,2,4,Family with Children,1
Graduation,Single,30992.0,1,0,83,17,0,14,7,3,2,1,1,0,3,7,0,40,38,43,0,4,1,2,Family with Children,1
Graduation,Single,101970.0,0,0,69,722,27,102,44,72,168,0,6,8,13,2,0,33,39,1135,4,27,0,1,Single,2
2n Cycle,Relationship,71488.0,0,0,87,162,33,124,40,28,172,2,3,4,7,1,0,51,40,559,0,14,0,2,Relationship,2
Graduation,Single,79607.0,0,0,37,450,133,951,173,0,216,1,3,6,6,1,0,32,38,1923,1,15,0,1,Single,2
Master,Relationship,54348.0,1,1,51,70,0,16,0,0,4,2,2,0,4,6,0,63,24,90,0,6,2,4,Family with Children,1
PhD,Relationship,77376.0,1,1,72,492,19,110,16,12,12,4,6,3,10,4,0,60,25,661,0,19,2,4,Family with Children,0
Graduation,Relationship,62998.0,0,1,10,120,58,73,65,89,58,5,5,4,5,5,0,64,33,463,0,14,1,3,Family with Children,0
Master,Single,61331.0,1,1,42,534,5,47,0,5,41,5,11,1,6,8,0,58,39,632,0,18,2,3,Family with Children,0
Graduation,Relationship,73448.0,0,0,10,236,106,189,23,41,130,1,7,2,9,4,0,47,28,725,0,18,0,2,Relationship,2
PhD,Relationship,41551.0,1,1,51,220,0,33,3,0,23,5,5,1,5,8,0,52,34,279,0,11,2,4,Family with Children,1
PhD,Relationship,62981.0,0,0,21,796,14,590,38,44,0,1,4,5,13,3,0,49,39,1482,1,22,0,2,Relationship,2
Basic,Single,9548.0,1,0,31,0,1,3,10,6,9,2,1,0,3,8,0,40,46,29,0,4,1,2,Family with Children,1
PhD,Relationship,33762.0,2,1,61,53,1,34,2,0,16,3,2,2,2,8,0,57,35,106,0,6,3,5,Family with Children,1
PhD,Single,35860.0,1,1,37,15,0,8,4,2,20,2,1,1,2,5,0,43,25,49,2,4,2,3,Family with Children,1
PhD,Single,36921.0,1,1,74,17,1,12,3,1,4,2,2,0,3,7,0,51,35,38,0,5,2,3,Family with Children,1
Master,Single,92859.0,0,0,46,962,61,921,52,61,20,1,5,4,12,2,0,24,44,2077,0,21,0,1,Single,2
Master,Relationship,65104.0,0,1,4,738,0,232,13,20,50,2,3,5,7,7,0,40,31,1053,1,15,1,3,Family with Children,0
Graduation,Relationship,86111.0,0,0,73,399,28,756,36,40,126,1,5,7,10,2,0,54,38,1385,0,22,0,2,Relationship,2
PhD,Single,68352.0,0,1,47,614,16,132,43,33,33,3,8,5,9,6,0,42,34,871,0,22,1,2,Family with Children,0
Graduation,Relationship,41883.0,1,0,13,32,34,41,73,16,116,3,4,2,3,7,0,28,39,312,0,9,1,3,Family with Children,1
Graduation,Relationship,59809.0,0,2,36,598,16,141,32,41,49,3,3,3,6,8,0,40,44,877,0,12,2,4,Family with Children,0
Graduation,Relationship,23957.0,1,0,47,2,1,18,20,11,16,1,2,0,3,6,0,41,44,68,1,5,1,3,Family with Children,1
Graduation,Relationship,38547.0,1,0,49,6,1,10,0,1,4,1,1,0,2,8,1,35,34,22,0,3,1,3,Family with Children,1
2n Cycle,Relationship,35688.0,2,1,94,73,3,90,12,1,32,7,4,1,4,8,0,43,46,211,0,9,3,5,Family with Children,1
Master,Relationship,49605.0,0,0,65,42,16,29,12,20,8,1,2,1,4,3,0,50,24,127,0,7,0,2,Relationship,1
Master,Relationship,59354.0,0,2,59,295,21,78,39,13,13,1,4,4,7,3,0,63,26,459,0,15,2,4,Family with Children,0
Graduation,Relationship,65747.0,0,1,96,346,17,48,23,13,13,4,8,1,6,6,0,47,27,460,1,15,1,3,Family with Children,0
2n Cycle,Relationship,46344.0,0,1,28,233,20,57,8,20,91,4,7,1,5,7,0,44,42,429,0,13,1,3,Family with Children,0
Graduation,Single,34176.0,1,0,12,5,7,24,19,14,20,4,3,0,4,6,0,28,25,89,0,7,1,2,Family with Children,1
PhD,Relationship,61010.0,0,1,57,888,0,57,0,0,76,2,8,5,11,5,0,64,44,1021,0,24,1,3,Family with Children,0
Graduation,Relationship,69372.0,0,0,10,997,26,269,34,13,42,1,10,4,6,4,0,67,40,1381,3,20,0,2,Relationship,2
Graduation,Single,49967.0,0,1,4,212,6,69,4,12,3,3,6,1,5,7,0,58,35,306,0,12,1,2,Family with Children,1
Graduation,Single,60199.0,1,2,49,8,1,7,2,0,0,1,0,0,3,4,0,38,33,18,0,3,3,4,Family with Children,1
Graduation,Relationship,55375.0,0,1,3,42,11,57,10,28,14,1,1,1,6,2,0,39,32,162,0,8,1,3,Family with Children,1
Graduation,Single,80317.0,0,0,64,536,11,387,149,91,57,1,3,4,10,1,0,61,34,1231,0,17,0,1,Single,2
Master,Single,30523.0,2,1,0,5,0,3,0,0,5,1,1,0,2,7,0,58,35,13,0,3,3,4,Family with Children,1
PhD,Relationship,70356.0,0,0,20,1349,16,249,43,16,33,2,10,6,9,6,0,71,43,1706,0,25,0,2,Relationship,2
Graduation,Relationship,23228.0,1,0,91,53,3,49,7,4,5,4,3,0,4,8,0,32,29,121,0,7,1,3,Family with Children,1
PhD,Single,74165.0,0,0,9,1001,12,240,16,12,12,1,5,4,10,2,0,41,37,1293,0,19,0,1,Single,2
Graduation,Relationship,43482.0,2,1,83,18,1,32,6,3,28,3,2,0,4,6,0,50,31,88,0,6,3,5,Family with Children,1
Graduation,Single,62551.0,0,0,27,125,16,98,134,21,27,1,6,7,4,3,0,63,31,421,1,17,0,1,Single,2
Graduation,Single,52332.0,0,0,63,212,5,33,7,0,2,1,3,2,6,4,0,57,34,259,1,11,0,1,Single,1
Graduation,Single,66951.0,0,0,46,277,162,305,173,76,124,1,3,4,7,1,0,28,31,1117,0,14,0,1,Single,2
Graduation,Relationship,26091.0,1,1,84,15,10,19,8,17,20,3,2,1,3,5,0,59,28,89,0,6,2,4,Family with Children,1
Graduation,Relationship,33456.0,1,1,58,7,3,10,8,1,7,2,1,0,3,7,0,51,26,36,0,4,2,4,Family with Children,1
Graduation,Relationship,28718.0,1,0,78,12,4,6,11,8,16,2,2,0,3,8,0,34,35,57,0,5,1,3,Family with Children,1
Graduation,Relationship,50447.0,2,0,4,85,7,24,2,3,27,1,3,1,3,6,0,46,26,148,0,7,2,4,Family with Children,1
PhD,Relationship,53537.0,1,1,17,81,0,6,0,0,6,2,2,1,3,5,0,57,29,93,0,6,2,4,Family with Children,1
Graduation,Single,52074.0,0,1,77,59,0,12,0,0,48,1,2,2,2,4,0,49,26,119,1,6,1,2,Family with Children,1
PhD,Relationship,80427.0,0,1,56,1149,71,449,69,71,26,1,11,8,8,5,0,41,45,1835,0,27,1,3,Family with Children,0
PhD,Relationship,83837.0,0,0,79,847,66,119,86,89,111,1,9,10,5,4,0,68,42,1318,3,24,0,2,Relationship,2
PhD,Relationship,38853.0,1,1,90,29,0,14,0,0,2,2,2,0,3,7,0,46,25,45,0,5,2,4,Family with Children,1
Graduation,Relationship,38285.0,2,1,96,2,0,5,2,0,1,1,0,0,3,2,0,57,24,10,0,3,3,5,Family with Children,1
2n Cycle,Relationship,78497.0,0,0,44,207,26,447,75,0,223,1,5,7,12,2,0,65,30,978,1,24,0,2,Relationship,2
PhD,Relationship,51650.0,0,1,81,152,3,22,2,5,7,1,4,1,4,5,0,40,25,191,0,9,1,3,Family with Children,1
2n Cycle,Relationship,16248.0,1,0,77,12,11,10,3,12,9,3,2,1,3,6,0,28,25,57,0,6,1,3,Family with Children,1
Master,Relationship,66835.0,0,0,21,620,26,195,34,17,141,1,6,4,13,2,0,70,33,1033,0,23,0,2,Relationship,2
Master,Relationship,30477.0,1,0,16,47,1,6,0,0,12,1,1,1,3,6,0,32,29,66,0,5,1,3,Family with Children,1
Basic,Relationship,28249.0,0,0,80,1,9,7,2,14,10,1,2,0,3,6,0,55,24,43,0,5,0,2,Relationship,1
Graduation,Relationship,25271.0,1,0,45,10,1,18,10,4,7,1,1,1,2,9,0,33,42,50,0,4,1,3,Family with Children,1
PhD,Single,32303.0,0,1,63,35,0,2,0,0,2,2,1,0,4,5,0,46,27,39,0,5,1,2,Family with Children,1
Graduation,Relationship,61286.0,0,1,34,356,0,107,19,9,117,2,7,1,8,5,0,50,34,608,0,16,1,3,Family with Children,0
Graduation,Relationship,74068.0,0,0,14,783,30,537,140,76,15,1,4,10,9,2,0,40,39,1581,0,23,0,2,Relationship,2
PhD,Relationship,45759.0,1,1,13,42,1,18,3,0,4,2,2,0,3,7,0,52,40,68,0,5,2,4,Family with Children,1
Basic,Relationship,24882.0,1,0,52,1,4,10,29,0,36,1,1,1,2,6,0,38,45,80,1,4,1,3,Family with Children,1
PhD,Relationship,66973.0,0,0,98,466,22,432,147,113,102,1,8,7,12,3,0,27,37,1282,0,27,0,2,Relationship,2
Graduation,Relationship,38872.0,1,0,93,23,3,21,3,19,22,2,3,0,3,8,0,28,37,91,0,6,1,3,Family with Children,1
Graduation,Relationship,51148.0,1,1,38,235,6,45,8,9,12,4,5,1,6,6,0,43,40,315,0,12,2,4,Family with Children,1
Graduation,Relationship,31353.0,1,1,24,10,0,10,3,1,7,2,1,1,2,8,0,39,30,31,0,4,2,4,Family with Children,1
Master,Relationship,69661.0,0,0,80,656,16,106,32,16,8,1,7,3,12,3,0,36,25,834,0,22,0,2,Relationship,2
Graduation,Relationship,80067.0,0,0,82,519,17,813,27,173,51,1,4,6,6,2,0,62,33,1600,1,16,0,2,Relationship,2
Graduation,Relationship,86718.0,0,0,20,344,189,482,50,33,172,1,5,6,5,2,0,62,41,1270,0,16,0,2,Relationship,2
PhD,Single,46854.0,1,1,81,96,1,79,7,1,79,6,5,1,3,8,0,43,27,263,2,9,2,3,Family with Children,1
Graduation,Single,69142.0,0,1,50,448,4,34,6,4,39,3,8,1,7,5,0,64,24,535,1,16,1,2,Family with Children,0
Graduation,Single,75922.0,0,0,60,265,138,553,224,23,92,1,4,4,9,1,0,48,30,1295,0,17,0,1,Single,2
Graduation,Single,63693.0,0,1,63,587,43,337,42,87,54,3,11,6,9,6,0,38,32,1150,0,26,1,2,Family with Children,0
PhD,Relationship,102160.0,0,0,54,763,29,138,76,176,58,0,7,9,10,4,0,39,43,1240,4,26,0,2,Relationship,2
PhD,Single,40637.0,1,1,72,22,0,13,0,0,3,2,1,0,3,7,0,51,35,38,0,4,2,3,Family with Children,1
Master,Single,18890.0,0,0,5,6,4,1,7,2,15,1,0,1,2,6,0,32,43,35,2,3,0,1,Single,1
Graduation,Relationship,29604.0,1,0,88,7,6,13,7,6,14,1,1,0,3,9,0,28,30,53,1,4,1,3,Family with Children,1
Master,Single,48721.0,1,1,50,81,18,113,47,13,21,6,4,2,5,6,0,53,37,293,0,11,2,3,Family with Children,1
Graduation,Relationship,44794.0,0,1,99,54,0,7,0,0,4,1,2,0,3,6,0,50,24,65,0,5,1,3,Family with Children,1
Graduation,Single,64497.0,0,1,17,1170,48,320,42,32,192,5,11,4,9,8,0,62,45,1804,2,24,1,2,Family with Children,0
Graduation,Relationship,46097.0,0,1,11,72,24,68,65,4,8,5,3,1,6,4,0,60,39,241,0,10,1,3,Family with Children,1
Graduation,Relationship,77972.0,0,0,18,613,22,319,33,102,12,1,4,6,9,1,0,62,27,1101,0,19,0,2,Relationship,2
PhD,Relationship,44377.0,1,1,70,224,0,30,0,0,10,8,5,1,5,8,0,48,44,264,0,11,2,4,Family with Children,1
Master,Relationship,46014.0,1,1,21,410,0,59,19,9,44,10,7,1,8,7,0,42,41,541,0,16,2,4,Family with Children,0
Graduation,Relationship,70951.0,0,0,66,239,10,554,254,87,54,1,3,4,9,1,0,31,37,1198,0,16,0,2,Relationship,2
Graduation,Relationship,41443.0,1,0,79,171,7,171,25,19,89,6,8,1,5,8,0,39,26,482,0,14,1,3,Family with Children,1
2n Cycle,Single,52195.0,2,1,2,12,0,4,0,0,1,1,1,0,2,8,0,38,25,17,0,3,3,4,Family with Children,1
Master,Relationship,83790.0,0,0,81,1076,16,417,42,48,16,1,8,10,6,3,0,68,31,1615,2,24,0,2,Relationship,2
Master,Single,44551.0,0,1,24,182,4,33,0,0,66,2,4,1,5,7,0,62,34,285,0,10,1,2,Family with Children,1
Graduation,Relationship,69508.0,1,0,48,824,32,162,42,32,43,2,11,4,11,6,0,36,43,1135,0,26,1,3,Family with Children,0
